MAG	Taxonomy	Domain	Completeness_checkm	Contamination_checkm	Completeness_DasTool	Contamination_DasTool	Numer of genomoes in dRep cluster	fccB	sulfide_quinone_oxidoreductase_sqr	sulfur_dioxygenase_sdo	aprA	sat	cysC	cysN	thiosulfate_reductase_phsA	dsrA	dsrB	dsrC	dsrD	dsrE	dsrF	dsrH	dsrJ	dsrK	dsrM	dsrO	dsrP	dsrR	dsrS	dsrT	soxA	soxB	soxD	soxX	soxY	soxYZ-like	soxZ	FeFeHydrogenase	FeFeHydrogenase_2	Hydrogenase_Group_1	Hydrogenase_Group_2a	Hydrogenase_Group_2b	Hydrogenase_Group_3b	Hydrogenase_Group_3c	Hydrogenase_Group_3d	Hydrogenase_Group_4	pmoA	pmoB	pmoC	mmoB	mmoD	mcrA	mcrB	mcrC	amoA	Archeael_amoB	Archeael_amoC	nifA_Mo	nifB_Mo	nifH	nitrite_oxidoreductase_nxrA	nitrite_oxidoreductase_nxrB	napA	napB	narG	narH	nrfH	nrfA	nirB	nirD	nirK	nitrite_reductase_nirS	nitric_oxide_reductase_norB	nitric_oxide_reductase_norC	nosD	nosZ	hydrazine_oxidase_hzoA	hydrazine_synthase_hzsA	octR	ureA	ureB	ureC	coxA	coxB	ccoN	ccoO	ccoP	cyoA	cyoD	cyoE	cydA	cydB	qoxA	ndma_methanol_dehydrogenase	madA	madB	fdh_thiol_id	sfh	sgdh	smdh	fae	fmtf	mtmc	fdhA	fdhB	fdhC	carbon_monoxide_dehydrogenase_coxL	carbon_monoxide_dehydrogenase_coxM	carbon_monoxide_dehydrogenase_coxS	rubisco_form_I	rubisco_form_II	rubisco_form_II_III	rubisco_form_III	rubisco_form_IV	Four-hydroxybutyryl-CoA-dehydratase	Four-hydroxybutyryl-CoA-synthetase	codhC	codhD	codh_catalytic	acetate_citrate_lyase_aclA	acetate_citrate_lyase_aclB	hdh	rdh	cld	ars_ox	ars_ox_2	arsC	ars_thioredoxin	ars_glutaredoxin	ygfK	ygfM	sel_mo	nthA	nthB	mtrA	mtrC
K_Offshore_120m_m2_037	Chloroflexi	Bacteria	95.05	2.97	98.04	0	5			1																								1																											1	1												1									1	1						1														1			2	1	1													1		1									1	1		
M_DeepCast_400m_m2_207	Chloroflexi	Bacteria	94.72	0.99	94.12	1.96	4			1																														1				3	1																																													1														2										1	3	3	1	1																		
K_Offshore_80m_m2_034	Chloroflexi	Bacteria	94.72	0.11	98.04	0	1			1		1	1																																																																						1	1						1																	2	2	2					1	1							1		1										1		
M_DeepCast_65m_m1_226	Chloroflexi	Bacteria	94.55	2.73	96.08	7.84	5																																	1				1																	1	1					1	1							1	1			1					1	1	1	1			1														2	1		4	5	5	1			1	3	1	4	1	1	1			1										1				
K_DeepCast_100m_m1_286	Chloroflexi	Bacteria	46.72	2.85	54.9	3.92	1		2	1						1	1	2	1						1																		1																		1							1																1			1			1	2	1												1		1	1	3	3					1		3		1				1														
K_Offshore_surface_m1_220	Chloroflexi	Bacteria	94.03	0	96.08	5.88	3						1	1																																																																					1	1						1																	3	1	1																											
K_DeepCast_100m_m2_203	Chloroflexi	Bacteria	93.64	2.91	98.04	2.63	6		1			1	1																															2																	1	1					1	1											1					1			1			2	1	1												1			2	3	1					1			1	1	1			1						2				1				
K_DeepCast_100m_m2_305	Chloroflexi	Bacteria	92.73	4.02	100	13.73	5		1			1	1					1																												1															1	1			1		1	1											1					1						2	1	1												2			1	2	1								1	1	1													1				
M_DeepCast_400m_m2_020	Chloroflexi	Bacteria	92.61	1.98	94.12	1.96	5			1																																		3	1																																																											3	2	1										2	1	1	3																	
M_DeepCast_200m_m2_194	Chloroflexi	Bacteria	91.75	3.08	98.04	7.84	2					1	1																											1				2	1																																																											3	1	1								1	2	2	1	1	2											1						
K_DeepCast_250m_m2_143	Chloroflexi	Bacteria	91.75	0	98.04	1.96	6			1																														1				3	1																																													1														1											1	1	3	1	1																	
K_DeepCast_250m_m1_199	Chloroflexi	Bacteria	90.52	3.24	96.08	3.92	8		1	1		1	1			1	1	2	1					1	1																		1	2																	1	1					1	1																			1			2	1	1												1	1		2	2	1						1	1	1	1	1				1									1				
K_DeepCast_250m_m2_317	Chloroflexi	Bacteria	90.45	2.64	98.04	5.26	8			1		1	1																															2		1																									1																														2	1	1	2				2	3						1			1	1									1		2						
K_Offshore_80m_m2_183	Chloroflexi	Bacteria	90.26	2.97	94.12	0	1																																																						1	1																					1	1						1														1			1	1	1													1		1												
K_Offshore_80m_m2_170	Chloroflexi	Bacteria	90.26	0.99	96.08	0	2					1	1																																																1	1																		1	1	1	1	1						1																	4	1	1													1		1												
M_DeepCast_400m_m2_027	Chloroflexi	Bacteria	93.53	44.06	94.12	13.73	1			1																														1				4	1																																													2														2										3	11	4	2	1												1						
M_DeepCast_200m_mx_194	Chloroflexi	Bacteria	91.25	6.93	98.04	3.92	5			1																														1				3	1																																													1														2										2	8	3	1	1																		
K_DeepCast_150m_m1_015	Chloroflexi	Bacteria	86.3	8.58	98.04	5.88	1			1																														2																																																		1															1	1								1	7		1	1																		
M_DeepCast_400m_m2_252	Chloroflexi	Bacteria	74.69	8.42	66.67	3.92	1			1																														1				1	1																																													1																2								1	4	2	1																			
M_DeepCast_200m_m1_174	Chloroflexi	Bacteria	32.98	0	43.14	0	1			1																																																																																														1											2																					
K_DeepCast_300m_mx_124	Chloroflexi	Bacteria	8.39	0.93	41.18	0	1			1								1																																																																		1																				1			1		1										1																	
K_DeepCast_150m_m2_071	Chloroflexi	Bacteria	89.77	3.48	96.08	3.92	3																																				1																				1	1			1	1											2					1						1	2	2																1								1	1	1	1																	
M_DeepCast_400m_m2_351	Chloroflexi	Bacteria	61.13	5.69	60.78	7.84	3			1																																		1	1																																																								2			1				1	1					1	1		1	1	2	1										1						
M_DeepCast_200m_m2_208	Chloroflexi	Bacteria	89.57	1.98	92.16	1.96	4			1																														1				3	1																																													1														2										2	6	2	1	1					1							1						
K_Offshore_80m_m2_197	Chloroflexi	Bacteria	89.35	3.32	96.08	7.84	1						2																																																										1												1	1						1																	4	1	2					2		1						2														
K_Offshore_80m_m2_174	Chloroflexi	Bacteria	49.54	5.09	62.75	3.92	1			2																																																																											1	1				1																	2	1						1	1	1						1											1	1		
K_DeepCast_250m_m1_342	Chloroflexi	Bacteria	89.09	2.45	100	3.92	8		1			1	1					1																1										1																												1															2			1	1	1												1			2	2	4					1			1	1	1													1				
M_DeepCast_65m_m2_156	Chloroflexi	Bacteria	84.41	1.82	84.31	3.92	2					1	1																															1		1																			1	1													1					1			1			3																	1	1	1					1																		1				
K_DeepCast_250m_m2_195	Chloroflexi	Bacteria	83	0.99	90.2	3.92	4			1																														1				2	1																																													1															1									1	4	4	2	1																		
K_Offshore_80m_m1_004	Chloroflexi	Bacteria	81.08	1.98	70.59	5.88	1					1	1																																																1																							2						1																	2	1	1													1		1												
M_DeepCast_200m_m1_335	Chloroflexi	Bacteria	88.28	10.2	94.12	13.73	1			1																														2																																																		1															2									1	5	4		1																		
K_DeepCast_150m_m1_063	Chloroflexi	Bacteria	80.86	4.16	88.24	3.92	1			1																														1				2	1																																													1																								1	3	3	1																			
K_Offshore_80m_m1_179	Chloroflexi	Bacteria	88.45	24.98	94.12	21.57	1					1	1	1																																																																		2	2	2	2	1						1																	1	3	4						5	3						1		2												
K_DeepCast_65m_m1_015	Chloroflexi	Bacteria	57.24	9.08	76.47	11.76	2																																																														1		1									1	1	1		3						1																	2	2						2								1		1												
M_DeepCast_400m_m2_044	Chloroflexi	Bacteria	80.36	4.62	90.2	7.84	1																																	1																																																		1														1	1									1	5	1	1																			
K_DeepCast_1200m_m1_255	Chloroflexi	Bacteria	79.91	3.47	88.24	2.63	6																																					1		1														1											1																																		1									1		2	1	1	3																	
K_DeepCast_250m_mx_116	Chloroflexi	Bacteria	79.04	2.07	96.08	5.88	6			1																																		1		1																		1																																									1	1								1	3	2	1	1	2											1						
K_Offshore_80m_m2_157	Chloroflexi	Bacteria	78.83	2.78	84.31	1.96	1																																																						1															1							1	1						1																	1		1						1																					
K_DeepCast_150m_m2_167	Chloroflexi	Bacteria	75.96	4.7	76.47	7.84	2			1			1	1								1																																																																																						1	1					2									1													
K_DeepCast_150m_m2_126	Chloroflexi	Bacteria	73.99	1.82	80.39	3.92	1											1																									1	1																							1	1			1												1	1			1			2																	2	3	1					1					1													1				
K_DeepCast_100m_m1_112	Chloroflexi	Bacteria	72.28	1.19	94.12	3.92	2			1																														1																																																																1	1	2								1	2	1	2	1																		
M_DeepCast_100m_mx_312	Chloroflexi	Bacteria	70.79	4.16	86.27	3.92	9			1																																	1	1	1																																													3															1	1		1	3						1	1		1	1				1							2						
K_DeepCast_150m_m2_048	Chloroflexi	Bacteria	64.91	0	78.43	0	2			1	1		1				1	3	1				1		1	1	1			1																																																												1	1													1											2	1		1	1																	
M_DeepCast_400m_m2_269	Chloroflexi	Bacteria	52.44	0.09	68.63	3.92	4			1																																	1																																																													1					2										1											3						
M_DeepCast_50m_m2_054	Chloroflexi	Bacteria	88.48	5.84	86.27	5.88	5																																																																					1							1	1																				1	1		1		3					1		1						1						1								
K_DeepCast_100m_m2_152	Chloroflexi	Bacteria	85.17	8.91	84.31	7.84	1																																	1																																																		1																								1	5	2		1																		
K_DeepCast_1200m_m1_340	Chloroflexi	Bacteria	81.85	12.08	92.16	5.26	1																																	3				3	1																																																											1	4	2								2	4	2		1																		
K_DeepCast_250m_m1_047	Chloroflexi	Bacteria	75.91	6.44	88.24	5.88	1																																	2																																																																	2	1								1	3	1		1																		
K_DeepCast_150m_m2_267	Chloroflexi	Bacteria	47.98	3.06	70.59	2.63	2					2	1		1																												1	1																							1	1																			1				1	1														1											1		1																	
K_DeepCast_300m_m2_134	Chloroflexi	Bacteria	37.62	4.95	70.59	2.63	1																																	2				2																																																																						1	3	2		1																		
M_DeepCast_200m_mx_261	Chloroflexi	Bacteria	35.71	5.06	52.94	7.84	1							1				1					1			1																	1																									2																							1																	1							3	1																				
M_DeepCast_200m_m1_116	Chloroflexi	Bacteria	31.89	1.38	50.98	0	1																																						1																																																											1															1																	
M_surface_10_mx_126	Chloroflexi	Bacteria	22.59	0.66	54.9	5.88	1																																																																													1																														1	1																					
M_DeepCast_400m_m1_178	Chloroflexi	Bacteria	36.47	0.1	60.78	1.96	3							1																																1																																																																																										
M_surface_10_mx_194	Chloroflexi	Bacteria	14.08	3.15	50.98	3.92	1						2																																																																																																					1		1																				
M_DeepCast_100m_mx_191	Chloroflexi	Bacteria	58.25	8.25	70.59	11.76	1					1																												1																																																																	1	1								1	4	1																				
M_DeepCast_400m_m2_244	CP Aminicemantes (OP8)	Bacteria	81.88	5.24	94.12	3.92	3			1		2						1																										1	1																						1	1																							2	1																3	2					1														1		1						
K_DeepCast_1200m_m2_098	CP Aminicemantes (OP8)	Bacteria	84.97	13.44	94.12	19.61	1			1		1	1			1	1	2	1				1	1	1	1				1														1	1	1																					1	1																							1	2																3	4					1	1								2					1		1						
M_DeepCast_400m_m2_293	CP Aminicemantes (OP8)	Bacteria	80.1	3.89	84.31	5.88	2			1		1	1					1																									1	1		1																					1	1																							1	1																								2																				
K_DeepCast_150m_m1_388	CP Aminicemantes (OP8)	Bacteria	91.11	1.71	100	7.89	7			2		1	1					1																										1	1	3																																																															1														1													
M_DeepCast_400m_m2_133	CP Aminicemantes (OP8)	Bacteria	50.71	0.91	66.67	2.63	1			1		1	1																														1																																																																		1																											
K_DeepCast_250m_m1_044	CP Aminicemantes (OP8)	Bacteria	82.07	3.21	94.12	11.76	4			1		1	1											1	1					1														1	1																																														1	1																1	1						1								2													
K_DeepCast_1200m_m1_317	CP BRC1	Bacteria	63.33	1.2	72.55	9.8	1			1		1				1	1	1						1	1		1			1														1																																																																						1		1																				
K_DeepCast_150m_m1_344	CP Eisenbacteria	Bacteria	97.8	0	100	0	8			2		1	1																														1	1																	1	1																	1				1	1			1			1	1	1																2	1																			1		1		1				
M_DeepCast_400m_m2_100	CP Eisenbacteria	Bacteria	92.24	3.46	94.12	5.88	7					1	1					1																				1																													1	1					1										1	1						1	1	1																							1	2																				
K_DeepCast_250m_m1_333	CP Eisenbacteria	Bacteria	88.71	4.5	90.2	7.89	7								1			1																									1																		1	1					1	1																			1																			1		2	1						1																					
M_DeepCast_400m_m1_028	CP Eisenbacteria	Bacteria	96.7	1.23	98.04	0	7																																					1		1																																																													2	1	1							3																2				
M_DeepCast_400m_m1_172	CP Fraserbacteria	Bacteria	47.7	0.15	70.59	3.92	4																																							1																																																													1	1	1									1	1											1		1				
K_DeepCast_250m_m1_078	CP Gottesmanbacteria	Bacteria	60.34	5.64	90.2	5.88	6																																				1																																																																																													
M_DeepCast_400m_m2_153	CP Gribaldobacteria	Bacteria	52.62	3.45	66.67	1.96	1					1																																																																																																																												
K_DeepCast_65m_m1_133	CP Handelsmanbacteria	Bacteria	96.7	4.4	100	3.92	6					1	1																																																1	1					1	1	1	2													1	1						1																	2	1	2					2	1												1						1	1		
K_Offshore_80m_m1_122	CP Handelsmanbacteria	Bacteria	88.96	16.33	60.78	11.76	2					1	1																															1	1																1	1					1	2		1																				2																1	2	1	2					1	1												2	1					1	1		
K_Offshore_120m_m1_041	CP Harrisonbacteria	Bacteria	73.84	0	86.27	2.63	5																																																																																																																																	
M_DeepCast_65m_m2_204	CP Hydrogenedentes	Bacteria	55.88	0.65	74.51	3.92	1																																																						1	1				1																		1						1																	1							1													1								1	
M_DeepCast_65m_m1_095	CP Kaiserbacteria	Bacteria	62.22	1.71	84.31	3.92	1																																																																																	1	1	1			1																																											
M_DeepCast_65m_mx_099	CP Kaiserbacteria	Bacteria	63.08	4.62	92.16	1.96	1						1																					1																																																					1																												1	1				1	1															
M_DeepCast_50m_m2_187	CP Liptonbacteria	Bacteria	77.27	0	92.16	2.63	5																																																																																																																																	
K_DeepCast_150m_m2_305	CP Moranbacteria	Bacteria	66.29	1.12	94.12	5.26	2																															1					1																																																																							1																						
M_DeepCast_400m_m2_122	CP Nealsonbacteria	Bacteria	53.09	0.11	84.31	0	4																																				1																																																																																													
K_DeepCast_300m_m1_142	CP Nealsonbacteria	Bacteria	53.48	14.42	78.43	25.49	1																																																																																																																																	
K_DeepCast_250m_m1_236	CP Nealsonbacteria	Bacteria	54.04	1.3	84.31	5.88	3																																																																																																																																	
K_Offshore_120m_mx_096	CP Parcubacteria	Bacteria	43.17	5.94	58.82	9.8	1																																																																																																																																	
K_DeepCast_65m_m2_166	CP Parcubacteria	Bacteria	37.68	0.71	64.71	5.88	1																																																																																																																																	
K_Offshore_120m_m1_009	CP Peribacteria	Bacteria	80.09	1.85	90.2	2.63	6																																																																																																													1																				
K_DeepCast_65m_m2_238	CP Perigrinibacteria	Bacteria	73.04	1.71	78.43	3.92	4							1																																																																																																																										
M_DeepCast_400m_m2_140	CP Roizmanbacteria	Bacteria	35.34	5.9	58.82	9.8	1																																				2																																																																									1																				
M_DeepCast_50m_m1_244	CP Rokubacteria	Bacteria	82.76	9.31	94.12	25.49	6	1		3																									1																										2	2																		1	1	1	4	4	1	1				1														1	3		16	3	4						4	5						2											1	1		
M_DeepCast_50m_m1_133	CP Rokubacteria	Bacteria	91.03	2.84	100	1.96	13	2		2																					2	1		2	1		1																								1	1																		1	1	1	2	3	1	1	1			1														1	1		25	4	7						6	4						3						1					1	1		
K_DeepCast_1200m_m2_081	CP Saccharibacteria	Bacteria	62.82	0	92.16	0	3																																																																																																																																	
K_DeepCast_150m_m1_139	CP Shapirobacteria	Bacteria	54.17	0.93	88.24	2.63	7																																				1																																																																																													
K_DeepCast_250m_mx_219	CP Shapirobacteria	Bacteria	55.12	2.15	82.35	7.84	6																																																																																																																																	
M_DeepCast_50m_m2_049	CP Staskawiczbacteria	Bacteria	63.33	0.83	94.12	9.8	2																																																																																																													1																				
K_DeepCast_300m_mx_184	CP Staskawiczbacteria	Bacteria	22.52	1.17	49.02	3.92	1																																																																																																																																	
K_Offshore_40m_m2_103	CP Tanganyikabacteria	Bacteria	91.45	0.85	100	0	13																																																																																1			1																								1																						
K_DeepCast_65m_m2_236	CP Tanganyikabacteria	Bacteria	56.81	7.58	80.39	17.65	1																																																																														1	1	2			1																																														
M_DeepCast_65m_m2_071	CP Tanganyikabacteria	Bacteria	96.58	4.27	100	5.88	1		1																																																				1	1	1	1	1	1		1			1	1	1										1		1	1	2			1																1		1	2							5											1				1	1				
M_DeepCast_50m_m1_122	CP Tectomicrobia	Bacteria	9.25	0.85	49.02	2.63	1						1																																																																																																																											
K_DeepCast_65m_m2_066	CP Tectomicrobia	Bacteria	75.88	3.9	54.9	5.26	1	1		1	1	2	1																					1			1																								2								1	1										1	1	1	1	1																1				1			2	3	3					1	9							2		1									1	1		
K_Offshore_120m_mx_063	CP Tectomicrobia	Bacteria	34.73	6.35	70.59	11.76	1						1																																																																	1												1														1																																
K_Offshore_120m_m2_035	CP TM6	Bacteria	63.34	6.84	74.51	5.88	1					1																																																																																																																												
K_Offshore_40m_m1_063	CP TM6	Bacteria	77.46	1.12	94.12	0	1																																																																																																																																	
K_DeepCast_35m_m1_037	CP TM6	Bacteria	61.38	2.91	96.08	2.63	2					1	1																																																																																																																											
M_DeepCast_50m_m1_120	CP TM6	Bacteria	32.28	2.85	52.94	5.88	1																																																																																																																																	
M_DeepCast_50m_m2_233	CP Uhrbacteria	Bacteria	64.36	1.16	92.16	2.63	3																																																																																																																																	
M_DeepCast_50m_m1_090	CP Uhrbacteria	Bacteria	68.98	1.98	92.16	3.92	1																																																																																																																																	
K_DeepCast_150m_m2_105	CP WWE1	Bacteria	73.93	1.26	100	9.8	7																															1								1																																																														2	1							2																				
K_DeepCast_250m_m1_043	CP WWE1	Bacteria	95.48	2.26	94.12	7.84	4																															2								1																																																														2								3																				
K_DeepCast_250m_m1_240	CP WWE3	Bacteria	31.94	0.1	72.55	5.88	1																																																																																																																																	
M_DeepCast_400m_m2_266	CP WWE3	Bacteria	55.37	1.8	88.24	3.92	4																																																																																																																																	
K_DeepCast_100m_m2_321	CP Ziwabacteria	Bacteria	98.35	0	98.04	1.96	4																																	1																					1	1						1							2	1							1	1	1	1	2			1																		2	1							3																				
K_DeepCast_100m_m2_307	CP Ziwabacteria	Bacteria	73.74	1.28	54.9	5.88	2						1					1																										1																					1	1	2	1							1	1			1				1		1	1	1																													1																				
K_DeepCast_100m_m2_001	CP Ziwabacteria	Bacteria	77.48	11.68	84.31	23.53	2		1					1	2			1																				1		1				1																	1	1																						1	1	2	3																			1	1		2					1																1						
K_Offshore_80m_m2_058	CP Zixibacteria	Bacteria	96.09	2.55	96.08	3.92	2			3		1	1																																																				1																		1	2						1							1							1			1	2							1							2														1
K_DeepCast_35m_m2_023	Cyanobacteria	Bacteria	96.55	6.19	98.04	23.53	1		1	1		1																																																																				1	2	1	1	2						1																				1				2		1																				
M_surface_10_m2_146	Cyanobacteria	Bacteria	91.08	15.99	94.12	9.8	1		2	1		1	1																																																																			2	1	1								1																				1				2																						
M_surface_7_m2_040	Cyanobacteria	Bacteria	88.48	6.84	92.16	10.53	2		1	1		1	1																																																																			1	1	1	2	1						1																				1				1																						
K_DeepCast_150m_m2_036	Cyanobacteria	Bacteria	93.06	14.13	80.39	15.69	1		1	1		1	1																																																																						4	2						2																				1				2																						
M_DeepCast_200m_mx_041	Cyanobacteria	Bacteria	80.07	41.67	68.63	17.65	1		1	1		1																			1						1																																											2		3	1	1						2																			1	1				5																						
K_DeepCast_0m_mx_142	Cyanobacteria	Bacteria	64.86	10.3	74.51	15.69	1					1	2																																																																			1	1	1								1																	1			1				2						1		1														
M_DeepCast_10m_m2_174	Cyanobacteria	Bacteria	95.27	28.41	68.63	9.8	1		2			1	1																																																																			1	1	1	2	1						1																				1				1																						
K_DeepCast_0m_m1_088	Cyanobacteria	Bacteria	53.27	9.47	68.63	7.84	1					1	2																																																																						2	1						1																				1				1																						
K_DeepCast_100m_m1_010	Cyanobacteria	Bacteria	72.96	14.86	94.12	39.22	1		1			1	1																																																																						3	1						1																				1				3																						
M_DeepCast_100m_mx_041	Cyanobacteria	Bacteria	34.84	33.98	74.51	5.26	1						1																																																																				1																													1				1		1																				
M_surface_10_mx_133	Cyanobacteria	Bacteria	33.15	1.29	66.67	5.88	1																																																																																																							1				1																						
M_surface_9_mx_081	Cyanobacteria	Bacteria	30.53	7.29	72.55	19.61	1																																																																												1																											1				2																						
M_DeepCast_200m_m1_110	Cyanobacteria	Bacteria	30.22	12.88	66.67	9.8	1																																																																																																							1				1																						
K_Offshore_surface_mx_199	Cyanobacteria	Bacteria	23.99	3.42	74.51	1.96	1																																																																																																							1				1																						
M_DeepCast_10m_m2_062	Cyanobacteria	Bacteria	18.01	4.98	70.59	0	1																																																																																																							1				1																						
K_Offshore_40m_mx_246	Cyanobacteria	Bacteria	17.15	0	70.59	0	3																																																																																																							1				1																						
K_Offshore_surface_mx_266	Cyanobacteria	Bacteria	15.44	0	70.59	0	1																																																																																																							1				1																						
M_surface_10_m2_157	Cyanobacteria	Bacteria	11.85	0.85	54.9	3.92	1																																																																												1																											1				1																						
K_Offshore_40m_mx_205	Cyanobacteria	Bacteria	8.96	0	58.82	0	1																																																																																																							1				1																						
K_DeepCast_0m_mx_006	Cyanobacteria	Bacteria	47.41	36.03	76.47	13.73	2																																																																													1																										1				1		1												1								
K_DeepCast_250m_m2_038	Cyanobacteria	Bacteria	90.04	10.24	90.2	11.76	1		1			1	1																																																																						4	2						1																				1				2																						
K_Offshore_surface_m1_122	Cyanobacteria	Bacteria	12.42	0.71	54.9	0	4																																																																																																							1				1																						
K_Offshore_surface_m2_011	Cyanobacteria	Bacteria	98.91	0.54	98.04	0	16			2		1	1																																																																			1	1	1	2	1						1	1	1							1											1				1																						
M_surface_10_m2_119	Cyanobacteria	Bacteria	98.46	1.4	94.12	2.63	10		1	1		1	1																																																																			1	1	1	2	1						1																																														
K_Offshore_surface_m2_239	Cyanobacteria	Bacteria	95.89	2.8	94.12	13.73	2					1	2																																1																																			1	1	1	2	1						1									1											1				1																						
M_surface_10_m2_179	Cyanobacteria	Bacteria	91.01	3.44	58.82	2.63	2		1	1		1																																																																				1	1	1	1	1						1																																														
M_surface_10_m1_298	Cyanobacteria	Bacteria	90.73	2.58	80.39	1.96	11					1	1																																																																						2	1						1																				1				2																						
K_DeepCast_35m_m2_155	Cyanobacteria	Bacteria	88.68	1.36	90.2	3.92	22			1		1																																																																				1	1	1	2	1						1																				1				2																						
M_DeepCast_100m_m1_067	Cyanobacteria	Bacteria	88.18	2.16	94.12	0	23					1	1																																																																			1	1	1	1	1						1																																														
M_surface_7_m2_037	Cyanobacteria	Bacteria	73.39	0.82	66.67	1.96	15			1			1																																																																					1	1	1						1																				1				2																						
K_DeepCast_0m_m2_193	Cyanobacteria	Bacteria	96.2	23.91	96.08	9.8	1		2	2		1	1																																																																			1	1	1	1	1						1																								1																						
K_DeepCast_35m_m2_318	Cyanobacteria	Bacteria	95.06	12.58	90.2	5.88	1		2	2		1	2																																																																			1	1	2	1	1						1																								2																						
M_DeepCast_100m_m2_281	Cyanobacteria	Bacteria	85.97	24.77	76.47	17.65	1		1	2		1	1																																																																			1	1	1								1																								1																						
K_Offshore_40m_m2_224	Cyanobacteria	Bacteria	85.56	13.2	68.63	9.8	1			1		1	1																																1																																			1	1	1	1	1						1																								2																						
K_DeepCast_150m_m2_006	Cyanobacteria	Bacteria	84.16	12.28	72.55	13.73	1		1	1		1																																																																				1	1	1	1	1						1																								1																						
K_Offshore_0m_m2_072	Cyanobacteria	Bacteria	74.69	7.97	66.67	7.84	1			1		1																																																																				1	1	1																																1																						
M_DeepCast_200m_mx_001	Cyanobacteria	Bacteria	65.02	0.05	78.43	3.92	24					1	1																																																																			1	1	1	1	1						1																				1				1																						
K_DeepCast_35m_m1_288	Cyanobacteria	Bacteria	82.63	9.19	50.98	5.88	1		1	1		1	1																																																																				1	2	2	1						1																								1																						
K_DeepCast_250m_m2_308	Cyanobacteria	Bacteria	79.24	11.23	74.51	11.76	1		1	1		1	1																																																																						1	1						1																								2																						
K_DeepCast_150m_m2_101	Cyanobacteria	Bacteria	80.05	9.65	60.78	7.84	1		1			1	2																																																																			1	1	1																																1																						
M_surface_9_m1_291	Cyanobacteria	Bacteria	62.64	9.51	50.98	3.92	1		1																																																																							2	1	2	1							1																								1																						
M_surface_6_m2_128	Cyanobacteria	Bacteria	42.59	0.18	45.1	0	4					1	1																																																																			1	1	1																																																						
M_surface_7_m1_222	Cyanobacteria	Bacteria	25.57	6.16	70.59	15.69	1																																																																																																																																	
M_DeepCast_400m_m2_330	Cyanobacteria	Bacteria	25.05	0.86	47.06	1.96	1																																																																																																						1																											
M_DeepCast_200m_mx_047	Cyanobacteria	Bacteria	23.32	13.71	62.75	13.73	1						1																																																																																																					2							1															
M_surface_10_mx_073	Cyanobacteria	Bacteria	22.55	12.93	60.78	7.84	1																																																																																																											1	1																					
K_Offshore_120m_mx_085	Cyanobacteria	Bacteria	9.94	0	50.98	0	1																																																																				1																																																													
K_DeepCast_0m_mx_036	Cyanobacteria	Bacteria	22.68	7.73	70.59	3.92	1																																																																																																											2																						
M_DeepCast_10m_m1_171	Cyanobacteria	Bacteria	7.97	0.27	49.02	1.96	1																																																																																																																																	
K_DeepCast_300m_m2_098	Cyanobacteria	Bacteria	85.7	19.6	82.35	31.37	1					2	1																																																																						3	1						1																								2																						
K_Offshore_surface_m1_225	Cyanobacteria	Bacteria	81.65	15.17	90.2	10.53	1					1	1																																1																																			2	1		1	1						1																																														
M_DeepCast_10m_m1_011	Cyanobacteria	Bacteria	78.06	26.72	84.31	13.73	1		3			2	1																																																																			1	1																																																							
M_DeepCast_100m_mx_180	Cyanobacteria	Bacteria	32.5	6.1	45.1	2.63	1																											1		1														1																																1	1	1																								1						1	1	1						1														
M_surface_6_m1_267	Cyanobacteria	Bacteria	17.91	1.09	49.02	3.92	1					1																																																																																																																												
M_DeepCast_100m_m1_202	Cyanobacteria	Bacteria	14.72	9.63	58.82	2.63	1																																																																																																																																	
M_surface_7_m1_184	Cyanobacteria	Bacteria	8.47	0.82	50.98	2.63	1																																																																																																																																	
M_surface_9_mx_156	Cyanobacteria	Bacteria	6.66	0.54	49.02	1.96	1																																																																											1																																																						
M_DeepCast_400m_m2_018	Deinococcus thermus	Bacteria	41.68	0.64	74.51	3.92	1					1	1																																																								1	1										1	2	1		1						1																	2		1						1	1						1														
K_DeepCast_1200m_m2_318	Deinococcus thermus	Bacteria	36.46	2.55	72.55	3.92	1						1																																																																					1		1																							1		1						1																					
K_Offshore_80m_m2_119	Deltaproteobacteria	Bacteria	90.48	1.68	96.08	1.96	2		1	3				1																																																																						1						1	1							1																																						
K_Offshore_80m_m1_159	Deltaproteobacteria	Bacteria	98.69	3.55	98.04	0	3	1	1	2			1	1																				1	1		1																								1	1												1						1	1	1	1	1			1			1									1					1			14	15	12						4							1	1	1				1					2	1		
K_DeepCast_150m_m1_199	Deltaproteobacteria	Bacteria	97.1	0.04	100	5.26	8			1	2	1	1		2	1	1	1	1				1	1	2	1	1			1										1					1																		1										1																		1	1												1	1		2	3	5						4	6	1		1											1						
M_DeepCast_200m_m1_099	Deltaproteobacteria	Bacteria	84.7	15.31	84.31	17.65	2			1	1		2			2	2	1	2						1	1	1			1														1	1																1						1	2					1						1												2	2																1							1	7	2	1	2									2								
M_DeepCast_65m_m1_099	Deltaproteobacteria	Bacteria	14.73	0	92.16	5.88	1		2	1				1				1																											1																1	1						1								1									1	1	2			1																	1							1		1										1									1	
K_DeepCast_150m_m2_098	Deltaproteobacteria	Bacteria	97.1	0.02	100	1.96	7		1	2	1	1	1		1	1	1	1	1				1	1	1	1	1			1													1																								1	1																																				1												5	1	1	1									2								
