NCBI Genome Submission ID	NCBI BioSample Submission ID	Genome (MAG Identifier)	TaxAss-kingdom	TaxAss-phylum	TaxAss-class	TaxAss-order	TaxAss-lineage	TaxAss-clade	TaxAss-tribe	Congruent Taxonomy	Candidate phyla	DPANN	Domain	Number of MAG in cluster dRep	Completeness DasTool	Contamination DasTool	Taxonomy GTDB-Tk	Taxonomy NCBI	Strain name	Genome completeness CheckM	Genome contamination CheckM	Strain heterogeneity CheckM	16S rRNA phylogeny CheckM	Number of ambiguous bases	Number of contigs	Number of  predicted genes	Number of scaffolds	Coding density	GC	GC std	Genome size (bp)	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs
VGJL00000000	SAMN10966502	K_DeepCast_250m_m1_333	Bacteria(100)	Latescibacteria(100)	unclassified	unclassified	unclassified	unclassified	unclassified	CP Eisenbacteria	X		Bacteria	7	90.2	7.89	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_250m_m1_333 [Domain]	88.71	4.5	0	Bacteria;Latescibacteria;uncultured bacterium mle1-16	0	373	3016	373	0.916	0.67	0	3350507	191279	191279	8983	8983	15110	15110	11	45	0	1	0	1	47
VGLA00000000	SAMN10966543	K_DeepCast_1200m_m1_294								CP Poribacteria	X		Bacteria	5	70.59	9.8	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_1200m_m1_294 [Domain]	59.43	14.1	9.38		0	1496	4416	1496	0.883	0.39	0	3745953	28944	28944	2504	2504	2452	2452	11	26	0	1	0	0	27
VGLB00000000	SAMN10966544	K_DeepCast_1200m_m1_314								CP Poribacteria	X		Bacteria	5	76.47	11.76	d__Bacteria;p__Poribacteria;c__WGA-4E;o__;f__;g__;s__	d__Bacteria;p__Poribacteria;c__;o__;f__;g__;s__	Poribacteria bacterium K_DeepCast_1200m_m1_314 [Phylum]	70.79	20	48.28		0	2779	9813	2779	0.845	0.44	0	8159157	38911	38911	2936	2936	2987	2987	11	21	0	0	0	0	21
VGJN00000000	SAMN10966504	K_DeepCast_250m_m1_078	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	CP Gottesmanbacteria	X		Bacteria	6	90.2	5.88	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Gottesmanbacterales;f__GWA2-43-14;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium K_DeepCast_250m_m1_078 [Phylum]	60.34	5.64	42.86		0	311	1831	311	0.896	0.39	0	1631538	30402	30402	5246	5246	6478	6478	11	42	0	0	0	1	43
VGLD00000000	SAMN10966546	K_DeepCast_250m_mx_079	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	CP Poribacteria	X		Bacteria	5	80.39	13.73	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_250m_mx_079 [Domain]	78.76	12.45	33.33		0	2462	5686	2462	0.886	0.40	0	4647176	20602	20602	1888	1888	1956	1956	11	58	0	1	0	3	62
VGVS00000000	SAMN10966822	M_DeepCast_400m_m2_153								CP Gribaldobacteria	X		Bacteria	1	66.67	1.96	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CG1-02-41-26;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_400m_m2_153 [Phylum]	52.62	3.45	0		0	170	549	170	0.891	0.36	0	421872	6743	6743	2482	2482	2569	2569	11	27	0	1	0	1	29
VGLF00000000	SAMN10966548	K_DeepCast_300m_mx_113								CP Poribacteria	X		Bacteria	1	45.1	5.26	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_300m_mx_113 [Domain]	30.16	3.87	0		0	1934	3777	1934	0.902	0.39	0	2770732	6573	6573	1433	1433	1371	1371	11	17	0	0	1	1	19
VGLG00000000	SAMN10966549	M_DeepCast_400m_m1_357								CP Poribacteria	X		Bacteria	5	58.82	1.96	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_400m_m1_357 [Domain]	47.18	5.49	10		0	1229	3520	1229	0.886	0.39	0	2992290	22068	22068	2435	2435	2372	2372	11	17	0	0	0	0	17
VGJS00000000	SAMN10966509	K_DeepCast_65m_m1_133	Bacteria(100)	PAUC34f(100)	unclassified	unclassified	unclassified	unclassified	unclassified	CP Handelsmanbacteria	X		Bacteria	8	100	3.92	d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_65m_m1_133 [Domain]	96.7	4.4	0	Bacteria;PAUC34f;uncultured bacterium	0	248	4861	248	0.908	0.67	0	4944551	223761	223761	19938	19938	49182	49182	11	44	0	1	0	2	47
VGLI00000000	SAMN10966551	M_DeepCast_400m_m2_140	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	CP Roizmanbacteria	X		Bacteria	1	58.82	9.8	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Roizmanbacterales;f__;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_400m_m2_140 [Phylum]	35.34	5.9	0		0	313	1080	313	0.907	0.34	0	782032	10564	10564	2499	2499	2488	2488	11	22	0	0	0	0	22
VGJO00000000	SAMN10966505	K_Offshore_120m_m1_041	Bacteria(100)	Patescibacteria(100)	Parcubacteria(100)	unclassified	unclassified	unclassified	unclassified	CP Harrisonbacteria	X		Bacteria	5	86.27	2.63	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__Harrisonbacteraceae;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium K_Offshore_120m_m1_041 [Phylum]	73.84	0	0	Bacteria;Parcubacteria;uncultured bacterium	0	12	619	12	0.835	0.44	0	631534	227960	227960	52628	52628	209580	209580	11	49	0	0	0	1	50
VGJP00000000	SAMN10966506	M_DeepCast_65m_m2_204								CP Hydrogenedentes	X		Bacteria	1	74.51	3.92	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__UBA2224;g__;s__	d__Bacteria;p__Hydrogenedentota;c__;o__;f__;g__;s__	Hydrogenedentota bacterium M_DeepCast_65m_m2_204 [Phylum]	55.88	0.65	0		0	1034	2944	1034	0.882	0.64	0	2629029	7739	7739	2543	2543	2600	2600	11	19	0	0	0	0	19
VGJQ00000000	SAMN10966507	M_DeepCast_65m_m1_095	Bacteria(100)	Patescibacteria(100)	Parcubacteria(100)	Candidatus_Kaiserbacteria(99)	unclassified	unclassified	unclassified	CP Kaiserbacteria	X		Bacteria	1	84.31	3.92	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__UBA10103;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_65m_m1_095 [Phylum]	62.22	1.71	50		0	50	1134	50	0.863	0.53	0	1008099	92438	92438	20162	20162	37207	37207	11	42	0	0	0	2	44
VGJR00000000	SAMN10966508	M_DeepCast_65m_mx_099	Bacteria(100)	Patescibacteria(100)	Parcubacteria(100)	Candidatus_Kaiserbacteria(100)	unclassified	unclassified	unclassified	CP Kaiserbacteria	X		Bacteria	1	92.16	1.96	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__UBA10103;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_65m_mx_099 [Phylum]	63.08	4.62	12.5	Bacteria;Parcubacteria;uncultured bacterium	0	281	2118	281	0.889	0.58	0	1932875	198041	198041	6879	6879	20717	20717	11	54	0	0	0	0	54
VGJV00000000	SAMN10966512	M_DeepCast_50m_m2_187	Bacteria(100)	Patescibacteria(100)	Parcubacteria(100)	Candidatus_Jorgensenbacteria(97)	unclassified	unclassified	unclassified	CP Liptonbacteria	X		Bacteria	5	92.16	2.63	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_50m_m2_187 [Phylum]	77.27	0	0	Bacteria;Parcubacteria;Candidatus Jorgensenbacteria;uncultured bacterium	0	14	954	14	0.890	0.48	0	878862	283038	283038	62776	62776	111322	111322	11	46	0	0	0	0	46
VGLN00000000	SAMN10966556	K_DeepCast_300m_mx_184								CP Staskawiczbacteria	X		Bacteria	1	49.02	3.92	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium K_DeepCast_300m_mx_184 [Phylum]	22.52	1.17	0		0	181	427	181	0.885	0.38	0	289127	4733	4733	1597	1597	1600	1600	11	15	0	0	0	0	15
VGKB00000000	SAMN10966518	K_DeepCast_150m_m2_305	Bacteria(100)	Patescibacteria(100)	Parcubacteria(82)	unclassified	unclassified	unclassified	unclassified	CP Moranbacteria	X		Bacteria	2	94.12	5.26	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__;f__;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium K_DeepCast_150m_m2_305 [Phylum]	66.29	1.12	0	Bacteria;Parcubacteria;Candidatus Moranbacteria;uncultured bacterium	0	105	934	105	0.886	0.43	0	869887	40648	40648	8285	8285	15097	15097	11	41	0	0	0	1	42
VGKC00000000	SAMN10966519	K_DeepCast_250m_m1_236	Bacteria(100)	Patescibacteria(100)	Parcubacteria(100)	Paceibacterales(95)	Paceibacteraceae(95)	Candidatus_Paceibacter(95)	unclassified	CP Nealsonbacteria	X		Bacteria	4	84.31	5.88	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium K_DeepCast_250m_m1_236 [Phylum]	54.04	1.3	75	Bacteria;Parcubacteria;uncultured bacterium	0	89	536	89	0.919	0.39	0	447797	25519	25519	5031	5031	6757	6757	11	44	0	0	0	1	45
VGKE00000000	SAMN10966521	M_DeepCast_400m_m2_122	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	CP Nealsonbacteria	X		Bacteria	4	84.31	0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Nealsonbacteraceae;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_400m_m2_122 [Phylum]	53.09	0.11	0	Bacteria;Parcubacteria;Parcubacteria group bacterium GW2011_GWC2_42_13	0	121	605	121	0.876	0.38	0	531980	18371	18371	4397	4397	5181	5181	11	30	0	0	0	1	31
VGKY00000000	SAMN10966541	K_Offshore_120m_m1_009								CP Peribacteria	X		Bacteria	6	90.2	2.63	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__;s__	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__;g__;s__	Peribacterales bacterium K_Offshore_120m_m1_009 [Order]	80.09	1.85	0		0	36	1095	36	0.906	0.55	0	1121510	162882	162882	31153	31153	56370	56370	11	48	0	0	1	0	49
VGLQ00000000	SAMN10966559	K_Offshore_120m_mx_063	Bacteria(100)	Chlamydiae(100)	Chlamydiae(100)	Chlamydiales(100)	cvE6(100)	unclassified	unclassified	CP Tectomicrobia	X		Bacteria	1	70.59	11.76	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_120m_mx_063 [Domain]	34.73	6.35	3.9	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera;uncultured bacterium	0	1914	7033	1914	0.895	0.50	0	5082042	101021	101021	2655	2655	3218	3218	11	172	0	2	6	17	197
VGLR00000000	SAMN10966560	M_DeepCast_50m_m1_122								CP Tectomicrobia	X		Bacteria	1	49.02	2.63	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_50m_m1_122 [Domain]	9.25	0.85	0		0	310	1326	310	0.903	0.52	0	1136683	16990	16990	3667	3667	4153	4153	11	6	0	0	0	1	7
VGKZ00000000	SAMN10966542	K_DeepCast_65m_m2_238	Bacteria(100)	Patescibacteria(100)	Gracilibacteria(100)	Candidatus_Peribacteria(100)	unclassified	unclassified	unclassified	CP Perigrinibacteria	X		Bacteria	4	78.43	3.92	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__;s__	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__;g__;s__	Peribacterales bacterium K_DeepCast_65m_m2_238 [Order]	73.04	1.71	0	Bacteria;Peregrinibacteria;Candidatus Peribacteria;Candidatus Peribacteria bacterium GW2011_GWB1_54_5	0	133	1125	133	0.903	0.55	0	1056455	36663	36663	7943	7943	10656	10656	11	40	0	0	1	0	41
VGLC00000000	SAMN10966545	M_DeepCast_200m_m2_052	Bacteria(100)	Poribacteria(100)	unclassified	unclassified	unclassified	unclassified	unclassified	CP Poribacteria	X		Bacteria	5	98.04	3.92	d__Bacteria;p__Poribacteria;c__WGA-4E;o__;f__;g__;s__	d__Bacteria;p__Poribacteria;c__;o__;f__;g__;s__	Poribacteria bacterium M_DeepCast_200m_m2_052 [Phylum]	93.34	9.07	16.67	Bacteria;Poribacteria;uncultured bacterium	0	396	8836	396	0.843	0.45	0	9841100	159197	159197	24851	24851	37012	37012	11	47	0	2	0	0	49
VGLE00000000	SAMN10966547	K_DeepCast_300m_m1_220								CP Poribacteria	X		Bacteria	5	49.02	2.63	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_300m_m1_220 [Domain]	51.76	4.95	14.29		0	1073	3124	1073	0.893	0.39	0	2717832	30628	30628	2533	2533	2489	2489	11	25	0	1	0	0	26
VGLH00000000	SAMN10966550	M_DeepCast_65m_m2_014	Bacteria(100)	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	CP Poribacteria	X		Bacteria	2	96.08	5.26	d__Bacteria;p__Poribacteria;c__WGA-4E;o__;f__;g__;s__	d__Bacteria;p__Poribacteria;c__;o__;f__;g__;s__	Poribacteria bacterium M_DeepCast_65m_m2_014 [Phylum]	97.8	3.3	33.33	Bacteria;Poribacteria;uncultured bacterium	0	291	3968	291	0.916	0.65	0	4345014	106559	106559	14931	14931	28384	28384	11	56	0	2	1	2	61
VHBU00000000	SAMN10966981	M_DeepCast_50m_m1_120								CP TM6	X		Bacteria	1	52.94	5.88	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_50m_m1_120 [Domain]	32.28	2.85	0		0	233	737	233	0.879	0.30	0	568853	6848	6848	2441	2441	2439	2439	11	22	0	0	0	0	22
VGLJ00000000	SAMN10966552	M_DeepCast_50m_m1_133	Bacteria(100)	Rokubacteria(100)	NC10(100)	Rokubacteriales(100)	unclassified	unclassified	unclassified	CP Rokubacteria	X		Bacteria	13	100	1.96	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__	d__Bacteria;p__Methylomirabilota;c__;o__;f__;g__;s__	Methylomirabilota bacterium M_DeepCast_50m_m1_133 [Phylum]	91.03	2.84	0	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;0319-6A21;uncultured bacterium	0	159	5415	159	0.930	0.70	0	5133623	223108	223108	32287	32287	59371	59371	11	42	0	1	0	1	44
VGOT00000000	SAMN10966641	M_DeepCast_50m_m1_244	Bacteria(100)	Rokubacteria(99)	NC10(99)	Rokubacteriales(99)	unclassified	unclassified	unclassified	CP Rokubacteria	X		Bacteria	6	94.12	25.49	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__	d__Bacteria;p__Methylomirabilota;c__;o__;f__;g__;s__	Methylomirabilota bacterium M_DeepCast_50m_m1_244 [Phylum]	82.76	9.31	0	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;0319-6A21;uncultured bacterium	0	299	4980	299	0.942	0.71	0	4800226	87085	87085	16054	16054	24020	24020	11	42	0	1	0	1	44
0	SAMN10966564	K_Offshore_40m_m1_111	Eukaryota(100)	Arthropoda(85)	unclassified	unclassified	unclassified	unclassified	unclassified	CP Verstraetaerchaeota	X		Archaea	2	84.31	23.53	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__;f__;g__;s__	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__;f__;g__;s__	Cyanobacteriia bacterium K_Offshore_40m_m1_111 [Class]	38.45	30.05	7.04	Bacteria;Cyanobacteria;Chloroplast;Teleaulax amphioxeia	0	43107	208890	43107	0.343	0.35	0	152327165	65536	65536	3534	3534	3967	3967	11	271	0	0	4	1746	2021
VGLK00000000	SAMN10966553	K_DeepCast_1200m_m2_081	Bacteria(100)	Patescibacteria(100)	Saccharimonadia(100)	Saccharimonadales(100)	Saccharimonadaceae(100)	unclassified	unclassified	CP Saccharibacteria	X		Bacteria	3	92.16	0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium K_DeepCast_1200m_m2_081 [Phylum]	62.82	0	0	Bacteria;Saccharibacteria;Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17	0	7	883	7	0.912	0.45	0	848146	308027	308027	121164	121164	164970	164970	11	40	0	0	1	0	41
VGLL00000000	SAMN10966554	K_DeepCast_150m_m1_139	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	CP Shapirobacteria	X		Bacteria	7	88.24	2.63	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium K_DeepCast_150m_m1_139 [Phylum]	54.17	0.93	100	Bacteria;Microgenomates;Candidatus Woesebacteria;uncultured bacterium	0	127	1166	127	0.910	0.45	0	1005243	60671	60671	7915	7915	10809	10809	11	43	0	0	0	1	44
VGLM00000000	SAMN10966555	K_DeepCast_250m_mx_219	Bacteria(99)	Patescibacteria(97)	Microgenomatia(97)	unclassified	unclassified	unclassified	unclassified	CP Shapirobacteria	X		Bacteria	6	82.35	7.84	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium K_DeepCast_250m_mx_219 [Phylum]	55.12	2.15	0	Bacteria;Microgenomates;Candidatus Woesebacteria;uncultured bacterium	0	161	840	161	0.922	0.40	0	687251	19224	19224	4269	4269	7069	7069	11	39	0	0	0	1	40
VGLO00000000	SAMN10966557	M_DeepCast_50m_m2_049	Bacteria(100)	Patescibacteria(100)	Parcubacteria(100)	Candidatus_Staskawiczbacteria(100)	unclassified	unclassified	unclassified	CP Staskawiczbacteria	X		Bacteria	2	94.12	9.8	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_50m_m2_049 [Phylum]	63.33	0.83	0	Bacteria;Parcubacteria;uncultured bacterium	0	138	1047	138	0.895	0.34	0	916196	54099	54099	6639	6639	12281	12281	11	39	0	0	0	1	40
VGJW00000000	SAMN10966513	K_Offshore_40m_m2_103	Bacteria(100)	Cyanobacteria(87)	unclassified	unclassified	unclassified	unclassified	unclassified	CP Tanganyikabacteria	X		Bacteria	13	100	0	d__Bacteria;p__Cyanobacteriota;c__Sericytochromatia;o__;f__;g__;s__	d__Bacteria;p__Cyanobacteriota;c__;o__;f__;g__;s__	Cyanobacteriota bacterium K_Offshore_40m_m2_103 [Phylum]	91.45	0.85	0	Bacteria;Cyanobacteria;ML635J-21;uncultured bacterium	0	41	2743	41	0.939	0.67	0	2851896	221433	221433	69558	69558	132492	132492	11	45	0	0	0	1	46
VGJX00000000	SAMN10966514	K_DeepCast_65m_m2_236								CP Tanganyikabacteria	X		Bacteria	1	80.39	17.65	d__Bacteria;p__Cyanobacteriota;c__Sericytochromatia;o__;f__;g__;s__	d__Bacteria;p__Cyanobacteriota;c__;o__;f__;g__;s__	Cyanobacteriota bacterium K_DeepCast_65m_m2_236 [Phylum]	56.81	7.58	6.67		0	1032	3167	1032	0.904	0.65	0	2533648	15523	15523	2455	2455	2488	2488	11	12	0	0	0	2	14
VGJY00000000	SAMN10966515	M_DeepCast_65m_m2_071	Bacteria(100)	Planctomycetes(100)	OM190(100)	unclassified	unclassified	unclassified	unclassified	CP Tanganyikabacteria	X		Bacteria	1	100	5.88	d__Bacteria;p__Cyanobacteriota;c__Sericytochromatia;o__S15B-MN24;f__;g__;s__	d__Bacteria;p__Cyanobacteriota;c__;o__;f__;g__;s__	Cyanobacteriota bacterium M_DeepCast_65m_m2_071 [Phylum]	96.58	4.27	0	Bacteria;Planctomycetes;OM190;uncultured bacterium	0	514	5848	514	0.910	0.69	0	6120079	72715	72715	11907	11907	19003	19003	11	51	0	0	3	0	54
VGKL00000000	SAMN10966528	M_DeepCast_400m_m2_339	Bacteria(100)	Omnitrophicaeota(100)	unclassified	unclassified	unclassified	unclassified	unclassified	CP WOR-2 Omnitrophica	X		Bacteria	3	72.55	17.65	d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__;s__	d__Bacteria;p__Omnitrophota;c__;o__;f__;g__;s__	Omnitrophota bacterium M_DeepCast_400m_m2_339 [Phylum]	68.67	10.9	5.56	Bacteria;Omnitrophica;uncultured bacterium	0	329	1186	329	0.933	0.43	0	933501	8755	8755	2837	2837	2937	2937	11	24	0	0	0	1	25
VGLS00000000	SAMN10966561	K_DeepCast_65m_m2_066								CP Tectomicrobia	X		Bacteria	1	54.9	5.26	d__Bacteria;;c__;o__;f__;g__;s__	d__Bacteria;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_65m_m2_066 [Domain]	75.88	3.9	0		0	1270	5848	1270	0.893	0.59	0	5007022	19218	19218	3943	3943	4456	4456	11	25	0	1	0	1	27
VHBR00000000	SAMN10966978	K_Offshore_120m_m2_035								CP TM6	X		Bacteria	1	74.51	5.88	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__RVW-14;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_120m_m2_035 [Domain]	63.34	6.84	14.29		0	349	1356	349	0.905	0.38	0	1218045	14076	14076	3490	3490	4069	4069	11	24	0	0	0	0	24
VHBS00000000	SAMN10966979	K_DeepCast_35m_m1_037	Bacteria(100)	Dependentiae(100)	Babeliae(100)	Babeliales(100)	unclassified	unclassified	unclassified	CP TM6	X		Bacteria	2	96.08	2.63	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__RVW-14;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_35m_m1_037 [Domain]	61.38	2.91	9.09	Bacteria;TM6 (Dependentiae);uncultured bacterium	0	104	1268	104	0.895	0.42	0	1327504	61464	61464	12764	12764	22077	22077	11	38	0	0	0	0	38
VHBT00000000	SAMN10966980	K_Offshore_40m_m1_063	Bacteria(100)	Dependentiae(90)	Babeliae(90)	Babeliales(90)	unclassified	unclassified	unclassified	CP TM6	X		Bacteria	2	94.12	0	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_40m_m1_063 [Domain]	77.46	1.12	0	Bacteria;TM6 (Dependentiae);uncultured bacterium	0	52	885	52	0.907	0.39	0	1034239	115333	115333	19889	19889	30216	30216	11	38	0	0	0	0	38
VGKU00000000	SAMN10966537	M_DeepCast_50m_m2_233	Bacteria(100)	Patescibacteria(100)	ABY1(100)	Candidatus_Uhrbacteria(99)	unclassified	unclassified	unclassified	CP Urhbacteria	X		Bacteria	3	92.16	2.63	d__Bacteria;p__Patescibacteria;c__ABY1;o__Uhrbacterales;f__GWF2-40-263;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_50m_m2_233 [Phylum]	64.36	1.16	100	Bacteria;Parcubacteria;Candidatus Uhrbacteria;uncultured bacterium	0	96	742	96	0.890	0.56	0	722956	47464	47464	7531	7531	12911	12911	11	33	0	0	0	0	33
VGLT00000000	SAMN10966562	M_DeepCast_50m_m1_090	Bacteria(100)	Patescibacteria(100)	ABY1(100)	Candidatus_Magasanikbacteria(100)	unclassified	unclassified	unclassified	CP Urhbacteria	X		Bacteria	1	92.16	3.92	d__Bacteria;p__Patescibacteria;c__ABY1;o__Uhrbacterales;f__2-12-FULL-60-25;g__;s__	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Patescibacteria bacterium M_DeepCast_50m_m1_090 [Phylum]	68.98	1.98	50	Bacteria;Parcubacteria;Candidatus Magasanikbacteria;uncultured bacterium	0	126	966	126	0.918	0.48	0	833911	28697	28697	6618	6618	8966	8966	11	41	0	0	0	0	41
VGIV00000000	SAMN10966486	M_DeepCast_400m_m2_089								CP WOR-3	X		Bacteria	2	52.94	1.96	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__;s__	d__Bacteria;p__WOR-3;c__;o__;f__;g__;s__	WOR-3 bacterium M_DeepCast_400m_m2_089 [Phylum]	43.38	1.2	0		0	463	1403	463	0.915	0.67	0	1199396	15386	15386	2590	2590	2596	2596	11	19	0	1	0	0	20
VGKF00000000	SAMN10966522	K_DeepCast_150m_m2_086	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	CP WOR-2 Omnitrophica	X		Bacteria	2	92.16	3.92	d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__;s__	d__Bacteria;p__Omnitrophota;c__;o__;f__;g__;s__	Omnitrophota bacterium K_DeepCast_150m_m2_086 [Phylum]	83.23	1.24	0		0	208	1233	208	0.944	0.45	0	1063397	29136	29136	5112	5112	6625	6625	11	36	0	0	0	0	36
VGKG00000000	SAMN10966523	M_DeepCast_200m_m2_189	Bacteria(100)	Omnitrophicaeota(100)	unclassified	unclassified	unclassified	unclassified	unclassified	CP WOR-2 Omnitrophica	X		Bacteria	4	96.08	2.63	d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__;s__	d__Bacteria;p__Omnitrophota;c__;o__;f__;g__;s__	Omnitrophota bacterium M_DeepCast_200m_m2_189 [Phylum]	87.28	2.15	0	Bacteria;Omnitrophica;uncultured bacterium	0	52	1432	52	0.947	0.51	0	1471138	240476	240476	28291	28291	61093	61093	11	44	0	0	0	1	45
