Genome	Genome_completeness	Genome_contamination	Manual_Taxonomy	Taxonomy_GTDB-tk	TaxAss_combined	Match
K_DeepCast_150m_m2_126	73.99	1.82	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); Anaerolineales(100); Anaerolineaceae(100); unclassified; unclassified	Yes
K_DeepCast_250m_m1_342	89.09	2.45	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); Anaerolineales(100); Anaerolineaceae(100); unclassified; unclassified	Yes
M_DeepCast_65m_m1_226	94.55	2.73	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_150m_m2_167	75.96	4.7	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); Anaerolineales(100); Anaerolineaceae(100); Pelolinea(100); unclassified	Yes
K_DeepCast_100m_m2_203	93.64	2.91	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); Anaerolineales(100); Anaerolineaceae(100); unclassified; unclassified	Yes
K_DeepCast_100m_m2_305	92.73	4.02	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); Anaerolineales(100); Anaerolineaceae(100); unclassified; unclassified	Yes
M_DeepCast_65m_m2_156	84.41	1.82	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); Anaerolineales(100); Anaerolineaceae(100); unclassified; unclassified	Yes
K_Offshore_surface_m1_220	94.03	0	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__;s__	Bacteria(100); Chloroflexi(100); Chloroflexia(100); Chloroflexales(100); Roseiflexaceae(100); unclassified; unclassified	Yes
K_DeepCast_150m_m2_048	64.91	0	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); MSBL5(100); unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_218	97.03	1.68	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); SAR202_clade(95); unclassified; unclassified; unclassified	Yes
K_DeepCast_250m_mx_116	79.04	2.07	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); FW22(89); unclassified; unclassified; unclassified	Yes
K_DeepCast_100m_m2_152	85.17	8.91	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); GIF9(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_150m_m1_063	80.86	4.16	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); GIF9(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_200m_m2_208	89.57	1.98	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); GIF9(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_200m_mx_194	91.25	6.93	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); GIF9(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_400m_m2_207	94.72	0.99	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); GIF9(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_400m_m2_252	74.69	8.42	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); GIF9(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_100m_mx_191	58.25	8.25	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(100); Kiritimatiellaeota(100); Kiritimatiellae(100); WCHB1-41(96); unclassified; unclassified; unclassified	Yes for RP16 and GTDB but different Phylum by TaxAss
K_DeepCast_250m_m2_195	83	0.99	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(81); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but TaxAss only arrived to Domain Bacteria
K_DeepCast_250m_m1_047	75.91	6.44	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(85); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but TaxAss only arrived to Domain Bacteria
M_DeepCast_400m_m2_044	80.36	4.62	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Bacteria(85); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but TaxAss only arrived to Domain Bacteria
K_DeepCast_100m_m1_112	72.28	1.19	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
K_DeepCast_150m_m1_015	86.3	8.58	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
K_Offshore_120m_m2_146	97.69	0.69	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); SAR202_clade(100); unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_079	99.67	1.19	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); SAR202_clade(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_50m_m2_018	96.7	0.33	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__UBA1151;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); SAR202_clade(97); unclassified; unclassified; unclassified	Yes
K_DeepCast_250m_m2_143	91.75	0	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2777;f__;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); FS117-23B-02(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_400m_m2_020	92.61	1.98	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2777;f__;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); FS117-23B-02(100); unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_034	94.72	0.11	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2963;f__;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); SAR202_clade(100); unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_170	90.26	0.99	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__;g__;s__	Bacteria(100); Chloroflexi(100); JG30-KF-CM66(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_120m_m2_037	95.05	2.97	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__UBA2979;g__;s__	Bacteria(100); Chloroflexi(100); JG30-KF-CM66(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_183	90.26	2.97	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__UBA2979;g__;s__	Bacteria(100); Chloroflexi(100); JG30-KF-CM66(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_084	96.7	0	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); SAR202_clade(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_65m_m2_033	96.7	1.19	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__;s__	Bacteria(100); Chloroflexi(100); Dehalococcoidia(100); SAR202_clade(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_50m_m2_054	88.48	5.84	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__P2-11E;f__P2-11E;g__;s__	Bacteria(100); Chloroflexi(100); P2-11E(100); unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_250m_m1_172	76.07	4.05	CP Aenigmarchaeota	d__Archaea;p__Nanoarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__		
M_DeepCast_200m_m2_220	81.82	2.8	CP Altiarchaeota	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__;g__;s__	Archaea(100); Altiarchaeota(99); Altiarchaeia(99); unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_250m_m1_044	82.07	3.21	CP Aminicemantes (OP8)	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__;s__		
M_DeepCast_400m_m2_133	50.71	0.91	CP Aminicemantes (OP8)	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__;s__		
M_DeepCast_400m_m2_244	81.88	5.24	CP Aminicemantes (OP8)	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__;s__		
M_DeepCast_400m_m2_293	80.1	3.89	CP Aminicemantes (OP8)	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__;s__	Bacteria(100); Acidobacteria(100); Aminicenantia(100); Aminicenantales(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_150m_m1_388	91.11	1.71	CP Aminicemantes (OP8)	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__;s__	Bacteria(100); Acidobacteria(100); Aminicenantia(100); Aminicenantales(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_250m_m2_015	83.96	3.27	CP Bathyarchaeota	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__		
K_DeepCast_250m_mx_298	55.9	1.87	CP Bathyarchaeota	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Archaea(100); Altiarchaeota(99); Altiarchaeia(99); unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB (but GTDB classifies Bathyarchaeota under Crenarchaeota) and Taxass arrived to another phylum (Altiarchaeota)
K_DeepCast_1200m_m1_317	63.33	1.2	CP BRC1	d__Bacteria;;c__;o__;f__;g__;s__		
M_DeepCast_400m_m1_028	96.7	1.23	CP Eisenbacteria	d__Bacteria;;c__;o__;f__;g__;s__	Bacteria(100); Latescibacteria(100); unclassified; unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three
M_DeepCast_400m_m2_100	92.24	3.46	CP Eisenbacteria	d__Bacteria;;c__;o__;f__;g__;s__	Bacteria(100); Latescibacteria(100); unclassified; unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three
K_DeepCast_250m_m1_333	88.71	4.5	CP Eisenbacteria	d__Bacteria;;c__;o__;f__;g__;s__	Bacteria(100); Latescibacteria(100); unclassified; unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three
K_DeepCast_150m_m1_344	97.8	0	CP Eisenbacteria	d__Bacteria;p__Gemmatimonadota;c__;o__;f__;g__;s__	Bacteria(100); Latescibacteria(90); unclassified; unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three
K_DeepCast_250m_m1_078	60.34	5.64	CP Gottesmanbacteria	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Gottesmanbacterales;f__GWA2-43-14;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
M_DeepCast_400m_m2_153	52.62	3.45	CP Gribaldobacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CG1-02-41-26;g__;s__		
K_DeepCast_65m_m1_133	96.7	4.4	CP Handelsmanbacteria	d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__;g__;s__	Bacteria(100); PAUC34f(100); unclassified; unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three
K_Offshore_120m_m1_041	73.84	0	CP Harrisonbacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__Harrisonbacteraceae;g__;s__	Bacteria(100); Patescibacteria(100); Parcubacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_65m_m2_204	55.88	0.65	CP Hydrogenedentes	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__UBA2224;g__;s__		
M_DeepCast_65m_mx_099	63.08	4.62	CP Kaiserbacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__UBA10103;s__	Bacteria(100); Patescibacteria(100); Parcubacteria(100); Candidatus_Kaiserbacteria(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_65m_m1_095	62.22	1.71	CP Kaiserbacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__UBA10103;s__	Bacteria(100); Patescibacteria(100); Parcubacteria(100); Candidatus_Kaiserbacteria(99); unclassified; unclassified; unclassified	Yes
M_DeepCast_50m_m2_187	77.27	0	CP Liptonbacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__;g__;s__	Bacteria(100); Patescibacteria(100); Parcubacteria(100); Candidatus_Jorgensenbacteria(97); unclassified; unclassified; unclassified	Inconsistant assignment with all three
K_DeepCast_150m_m2_305	66.29	1.12	CP Moranbacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__;f__;g__;s__	Bacteria(100); Patescibacteria(100); Parcubacteria(82); unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three
K_DeepCast_250m_m1_236	54.04	1.3	CP Nealsonbacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Bacteria(100); Patescibacteria(100); Parcubacteria(100); Paceibacterales(95); Paceibacteraceae(95); Candidatus_Paceibacter(95); unclassified	GTDB and TaxAss match but not RP16
M_DeepCast_400m_m2_122	53.09	0.11	CP Nealsonbacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Nealsonbacteraceae;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
K_Offshore_120m_m2_023	65.19	0	CP Pacearchaeota	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__UBA73;g__;s__		
K_Offshore_80m_m2_097	63.24	0	CP Pacearchaeota	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__UBA73;g__;s__		
M_DeepCast_400m_m2_082	71.88	0	CP Pacearchaeota	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__;g__;s__		
M_DeepCast_50m_m2_169	65.81	0	CP Pacearchaeota	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__UBA73;g__;s__		
K_DeepCast_100m_m1_149	66.74	1.87	CP Pacearchaeota	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__;g__;s__		
M_DeepCast_400m_m2_303	65.58	0.93	CP Pacearchaeota	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__		
M_DeepCast_65m_mx_140	91.82	3.81	CP Parvarchaeota	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__;g__;s__	Archaea(100); Diapherotrites(96); Micrarchaeia(96); unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three but at least Archaea
K_Offshore_120m_m1_009	80.09	1.85	CP Peribacteria	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__;s__		
K_DeepCast_65m_m2_238	73.04	1.71	CP Perigrinibacteria	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__;s__	Bacteria(100); Patescibacteria(100); Gracilibacteria(100); Candidatus_Peribacteria(100); unclassified; unclassified; unclassified	Yes (check naming of RP16)
K_DeepCast_300m_m1_220	51.76	4.95	CP Poribacteria	d__Bacteria;;c__;o__;f__;g__;s__		
M_DeepCast_200m_m2_052	93.34	9.07	CP Poribacteria	d__Bacteria;p__Poribacteria;c__WGA-4E;o__;f__;g__;s__	Bacteria(100); Poribacteria(100); unclassified; unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_65m_m2_014	97.8	3.3	CP Poribacteria	d__Bacteria;p__Poribacteria;c__WGA-4E;o__;f__;g__;s__	Bacteria(100); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but TaxAss only arrived to Domain Bacteria
M_DeepCast_50m_m1_133	91.03	2.84	CP Rokubacteria	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__	Bacteria(100); Rokubacteria(100); NC10(100); Rokubacteriales(100); unclassified; unclassified; unclassified	Yes
M_DeepCast_50m_m1_244	82.76	9.31	CP Rokubacteria	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__	Bacteria(100); Rokubacteria(99); NC10(99); Rokubacteriales(99); unclassified; unclassified; unclassified	Yes
K_DeepCast_1200m_m2_081	62.82	0	CP Saccharibacteria	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__	Bacteria(100); Patescibacteria(100); Saccharimonadia(100); Saccharimonadales(100); Saccharimonadaceae(100); unclassified; unclassified	Yes
K_DeepCast_250m_mx_219	55.12	2.15	CP Shapirobacteria	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__;g__;s__	Bacteria(99); Patescibacteria(97); Microgenomatia(97); unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but could not get the same resolution with TaxAss
K_DeepCast_150m_m1_139	54.17	0.93	CP Shapirobacteria	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
M_DeepCast_50m_m2_049	63.33	0.83	CP Staskawiczbacteria	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__;s__	Bacteria(100); Patescibacteria(100); Parcubacteria(100); Candidatus_Staskawiczbacteria(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_65m_m2_066	75.88	3.9	CP Tectomicrobia	d__Bacteria;;c__;o__;f__;g__;s__		
K_Offshore_120m_m2_035	63.34	6.84	CP TM6	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__RVW-14;g__;s__		
K_Offshore_40m_m1_063	77.46	1.12	CP TM6	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__	Bacteria(100); Dependentiae(90); Babeliae(90); Babeliales(90); unclassified; unclassified; unclassified	Is TM6 the same as Dependentiae?
K_DeepCast_35m_m1_037	61.38	2.91	CP TM6	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__RVW-14;g__;s__	Bacteria(100); Dependentiae(100); Babeliae(100); Babeliales(100); unclassified; unclassified; unclassified	Is TM6 the same as Dependentiae?
M_DeepCast_50m_m1_090	68.98	1.98	CP Urhbacteria	d__Bacteria;p__Patescibacteria;c__ABY1;o__Uhrbacterales;f__2-12-FULL-60-25;g__;s__	Bacteria(100); Patescibacteria(100); ABY1(100); Candidatus_Magasanikbacteria(100); unclassified; unclassified; unclassified	Yes for RP16 and GTDB but different order by TaxAss
M_DeepCast_50m_m2_233	64.36	1.16	CP Urhbacteria	d__Bacteria;p__Patescibacteria;c__ABY1;o__Uhrbacterales;f__GWF2-40-263;g__;s__	Bacteria(100); Patescibacteria(100); ABY1(100); Candidatus_Uhrbacteria(99); unclassified; unclassified; unclassified	Yes for RP16 and GTDB but different order by TaxAss
M_DeepCast_400m_m2_128	99.07	1.4	CP Verstraetaerchaeota	d__Archaea;p__Crenarchaeota;c__Methanomethylicia;o__Methanomethyliales;f__Methanomethyliaceae;g__;s__	Archaea(100); Crenarchaeota(100); Verstraetearchaeia(100); Methanomethyliales(100); Methanomethyliaceae(100); Candidatus_Methanomethylicus(100); unclassified	Yes for RP16 and TaxAss but different group by GTDB
M_DeepCast_400m_m1_102	73.77	9.99	CP WOR-2 Omnitrophica	d__Bacteria;p__Omnitrophota;c__koll11;o__;f__;g__;s__		
M_DeepCast_400m_m2_183	86.97	3.32	CP WOR-2 Omnitrophica	d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__;s__		
K_DeepCast_150m_m1_084	75.99	3.23	CP WOR-2 Omnitrophica	d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__;s__		
K_DeepCast_250m_m2_062	83.81	2.41	CP WOR-2 Omnitrophica	d__Bacteria;p__Omnitrophota;c__koll11;o__;f__;g__;s__	Archaea(98); Diapherotrites(85); Iainarchaeia(85); Iainarchaeales(85); unclassified; unclassified; unclassified	Yes for RP16 and GTDB but different domain by TaxAss
K_DeepCast_250m_m2_027	87.57	4.3	CP WOR-2 Omnitrophica	d__Bacteria;p__Omnitrophota;c__koll11;o__;f__;g__;s__	Bacteria(100); Omnitrophicaeota(100); unclassified; unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_200m_m2_189	87.28	2.15	CP WOR-2 Omnitrophica	d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__;s__	Bacteria(100); Omnitrophicaeota(100); unclassified; unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_400m_m2_096	73.97	1.68	CP WOR-2 Omnitrophica	d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__;s__	Bacteria(100); Omnitrophicaeota(97); unclassified; unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_150m_m2_086	83.23	1.24	CP WOR-2 Omnitrophica	d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
K_DeepCast_250m_m1_105	54.59	0	CP WOR-3	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__;s__		
K_DeepCast_150m_m2_040	94.51	4.4	CP WOR-3	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__;s__	Bacteria(100); TA06(100); unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but different phylum by TaxAss (check if WOR-3 is same as TA06)0
K_DeepCast_150m_m2_307	74.14	0.1	CP WOR-3	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__;s__	Bacteria(100); TA06(100); unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but different phylum by TaxAss (check if WOR-3 is same as TA06)0
M_DeepCast_400m_m1_356	50.59	2.81	CP WOR-3	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__;s__	Bacteria(100); TA06(100); unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but different phylum by TaxAss (check if WOR-3 is same as TA06)0
K_DeepCast_150m_m2_105	73.93	1.26	CP WWE1	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__;s__		
K_DeepCast_250m_m1_043	95.48	2.26	CP WWE1	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__;s__		
M_DeepCast_400m_m2_266	55.37	1.8	CP WWE3	d__Bacteria;p__Patescibacteria;c__4484-211;o__4484-211;f__;g__;s__		
K_DeepCast_100m_m2_321	98.35	0	CP Ziwabacteria	d__Bacteria;p__UBP1;c__PRR-12;o__;f__;g__;s__	Bacteria(100); Latescibacteria(100); Latescibacteria(100); Latescibacterales(100); Latescibacteraceae(100); unclassified; unclassified	No
K_DeepCast_100m_m2_307	73.74	1.28	CP Ziwabacteria	d__Bacteria;p__UBP1;c__PRR-12;o__;f__;g__;s__	Bacteria(100); Latescibacteria(100); unclassified; unclassified; unclassified; unclassified; unclassified	No
K_Offshore_80m_m2_058	96.09	2.55	CP Zixibacteria	d__Bacteria;p__Latescibacterota;c__;o__;f__;g__;s__	Bacteria(100); AncK6(100); unclassified; unclassified; unclassified; unclassified; unclassified	No
M_surface_7_m2_037	73.39	0.82	Cyanobacteria	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Cyanobium;s__		
M_surface_7_m2_040	88.48	6.84	Cyanobacteria	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Cyanobium;s__		
M_surface_9_m1_291	62.64	9.51	Cyanobacteria	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Cyanobium;s__		
M_surface_10_m2_179	91.01	3.44	Cyanobacteria	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Cyanobium;s__		
K_DeepCast_0m_m1_088	53.27	9.47	Cyanobacteria	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Cyanobium;s__		
K_Offshore_0m_m2_072	74.69	7.97	Cyanobacteria	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Cyanobium;s__		
